变量,类别,样本数,P(Y<=2)不满意概率,P(Y>=4)满意概率,E[Y]期望满意度
城市,杭州,132,0.4961,0.214,2.6587
城市,宁波,192,0.4247,0.2797,2.8511
城市,温州,143,0.4364,0.2545,2.8046
隔音墙,无/不清楚,335,0.5024,0.2061,2.6431
隔音墙,有,132,0.3115,0.3734,3.1362
年龄,18岁以下,39,0.5868,0.1553,2.4429
年龄,19-30岁,128,0.3585,0.3363,3.0183
年龄,31-45岁,148,0.4528,0.247,2.7733
年龄,46-60岁,106,0.5011,0.2092,2.6472
年龄,61岁及以上,46,0.446,0.228,2.7552
