变量,ΔP(Y<=2)不满意概率,ΔP(Y>=4)满意概率,ΔE[Y]
隔音墙(无→有),-0.1376,0.1108,0.3393
杭州(vs温州),0.0333,-0.0248,-0.0809
宁波(vs温州),-0.0168,0.0127,0.0409
主城区(vs乡镇农村),-0.0392,0.0302,0.0959
郊区(vs乡镇农村),0.0446,-0.033,-0.1082
县城(vs乡镇农村),0.082,-0.0591,-0.1979
