cluster,性别,年龄,现居住地,现居住区域,职业类型,文化程度
0,1,3,2,1,3,5
1,1,3,2,2,3,5
2,1,3,2,3,3,5
3,1,2,2,2,3,5
4,1,2,2,1,5,5
