cluster,F1,F2,F3,F4,n
0,1.15,0.894,-0.857,-0.954,68
1,0.429,-0.341,0.423,0.431,211
2,-0.827,0.537,-0.913,1.072,69
3,-0.909,0.445,1.0,-0.755,73
4,-0.986,-1.268,-0.891,-0.979,46
