切分点,F1,F2,F3,F4
切分点1,-0.337,-0.152,-0.631,-0.433
切分点2,-0.124,-0.417,-0.304,-0.13
切分点3,-0.119,-0.625,-0.458,-0.355
切分点4,-0.917,-1.088,-0.599,-0.463
