变量,VIF
Age1,1.283
Age2,1.612
Age3,1.525
Age4,1.387
Edu1,1.283
Edu2,1.374
Edu3,1.319
Edu4,1.306
CityHZ,1.452
CityNB,1.55
Area1,1.846
Area2,1.788
Area3,1.578
Wall,1.087
F1,1.057
F2,1.022
F3,1.043
F4,1.131
