题项,提取值
交通噪声影响,0.539
周围人生活噪声影响,0.501
装修/施工噪声影响,0.75
商业经营噪声影响,0.648
公共活动噪声影响,0.611
动物噪声影响,0.634
噪声入睡情况影响,0.616
噪声中断睡眠影响,0.572
噪声注意力影响,0.742
噪声身边关系影响,0.655
噪声精神状态影响,0.757
噪声对身体健康影响,0.69
噪声对听觉影响,0.58
噪声对极端情绪影响,0.668
