题项,F1,F2,F3,F4
交通噪声影响,0.171,0.141,0.677,0.178
周围人生活噪声影响,0.153,0.267,0.074,0.633
装修/施工噪声影响,0.189,0.051,0.843,-0.009
商业经营噪声影响,-0.016,0.119,0.091,0.791
公共活动噪声影响,-0.053,0.119,0.72,0.275
动物噪声影响,0.066,-0.025,0.238,0.756
噪声入睡情况影响,0.743,0.234,0.096,-0.02
噪声中断睡眠影响,0.119,0.736,0.082,0.099
噪声注意力影响,0.848,0.125,0.082,0.031
噪声身边关系影响,0.028,0.795,0.063,0.137
噪声精神状态影响,0.865,0.053,0.062,0.035
噪声对身体健康影响,0.136,0.804,0.115,0.111
噪声对听觉影响,0.72,0.122,0.116,0.182
噪声对极端情绪影响,0.258,0.769,0.091,0.033
