成分,提取SS,提取方差%,提取累积%,旋转SS,旋转方差%,旋转累积%
1,4.23,30.22,30.22,2.735,19.53,19.53
2,1.95,13.93,44.14,2.622,18.73,38.26
3,1.678,11.99,56.13,1.824,13.03,51.29
4,1.105,7.89,64.03,1.783,12.73,64.03
