F1,F2,F3,F4,composite
1.1176,-1.9549,0.0476,0.2309,-0.1754
-0.6713,-1.4795,-0.1481,-1.0168,-0.87
0.4679,-0.8642,-0.0847,0.7965,0.0311
0.3258,0.3012,0.1227,-0.4338,0.1262
0.9266,-1.7066,0.8818,-0.2238,-0.0817
-0.043,-1.1053,1.2959,-0.6761,-0.2073
0.7991,0.0356,0.7771,1.0434,0.6198
-1.4915,1.787,-1.3618,1.9395,0.1764
-0.7591,0.2376,1.7055,-0.3729,0.1108
0.2385,0.7944,0.4371,-0.0698,0.3802
-1.1358,0.9683,-1.1524,2.3034,0.1604
-1.8073,1.4369,-1.3358,-1.4258,-0.6863
-1.9639,1.8985,-0.8634,1.4094,0.0609
0.4361,-0.0581,-0.434,-1.056,-0.1823
0.4119,0.6679,0.829,0.658,0.6206
-0.0393,-1.385,1.0806,-0.2303,-0.2431
1.5368,1.3877,-0.261,0.0886,0.8394
-0.2272,-0.5633,-1.0564,-1.3887,-0.7253
0.8308,0.8163,0.4297,-1.1767,0.3457
-0.8112,-0.9093,-0.7176,-0.5222,-0.7634
0.6484,0.5965,0.7121,1.0274,0.7216
0.7373,0.8013,0.5733,-0.4426,0.488
0.2475,0.1367,0.7925,1.0423,0.484
-0.0814,-0.1564,-0.0028,0.2526,-0.0209
1.042,0.6934,0.8625,1.3857,0.9719
1.4549,0.954,-0.2838,-0.7053,0.525
0.6484,0.5965,0.7121,1.0274,0.7216
1.6472,1.8204,-0.1754,-1.2722,0.7464
1.6289,0.8761,-0.8949,-0.9996,0.3724
-0.0234,0.2474,-0.6078,-0.7228,-0.2022
0.3459,0.9286,0.9228,0.5102,0.6664
0.3868,-0.9811,-0.115,-0.1428,-0.2208
-0.0623,-0.0274,1.7115,-1.619,-0.0008
0.5605,0.4467,1.4825,1.2586,0.8536
-1.6072,-1.6488,-1.2046,-0.9449,-1.4058
1.6365,1.0122,1.2118,-0.3369,0.975
-0.6313,-0.5361,1.055,-0.9273,-0.3192
0.1005,-0.3474,-0.3316,-0.1643,-0.1711
1.3783,1.3494,1.4269,1.8021,1.464
0.5014,-0.1599,-1.6459,-1.1095,-0.4494
0.6633,-0.2487,0.8968,1.2265,0.556
0.6304,-0.2604,-1.7846,-0.2193,-0.2906
1.8979,1.1598,-1.1956,-0.8199,0.512
-0.2632,-0.1462,-1.5659,0.1532,-0.4112
1.1659,0.3438,-1.9138,-0.4343,-0.0195
0.7089,-0.6131,-1.2478,-0.1037,-0.2376
1.1119,-0.3186,-1.0681,0.095,0.0476
0.7904,0.6846,0.7597,0.2064,0.6371
-0.1484,0.3914,-0.8393,-1.0176,-0.3039
0.8776,-0.7039,-0.5018,1.3839,0.2349
0.46,0.629,0.7021,-0.029,0.4615
0.7172,0.5411,1.2214,0.8124,0.7872
-0.1853,-0.0464,-0.4525,0.3646,-0.0897
0.2642,-0.2074,-1.8394,0.2778,-0.2991
0.7112,0.1098,-0.4785,-0.6095,0.0305
0.6992,0.6431,-0.1326,-0.1018,0.3542
0.6599,-0.061,-0.955,-0.8516,-0.1802
0.7519,0.805,-0.8289,0.9819,0.4915
0.5823,0.6098,0.9399,1.3794,0.8216
0.6484,0.5965,0.7121,1.0274,0.7216
-0.1672,1.1776,0.7713,0.3254,0.5152
0.2172,-0.1114,0.8442,1.1543,0.435
-0.0429,-0.1969,0.2471,-0.019,-0.0242
0.0263,0.2306,0.9422,0.6359,0.3937
0.4812,-1.0676,0.7567,0.1467,0.0176
0.7197,0.3404,0.7556,1.0293,0.6776
0.6457,0.4528,0.9274,0.0083,0.5198
0.17,0.6903,0.9603,0.2588,0.5007
0.9688,0.0768,0.5062,0.7229,0.5648
0.6428,0.1673,0.8228,-0.7049,0.2723
0.7064,0.0251,0.3427,0.7212,0.436
0.7114,0.3744,0.2064,1.5454,0.6759
0.2309,0.1165,1.4095,0.0448,0.4002
0.9514,0.4243,0.9175,-0.1013,0.5809
0.7171,-0.4304,-0.1841,0.77,0.2085
1.2827,0.5246,0.3765,0.4015,0.7013
