成分,特征值,方差%,累积%
1,4.23,30.22,30.22
2,1.95,13.93,44.14
3,1.678,11.99,56.13
4,1.105,7.89,64.03
5,0.777,5.55,69.58
6,0.705,5.04,74.61
7,0.64,4.57,79.18
8,0.542,3.87,83.05
9,0.483,3.45,86.5
10,0.458,3.27,89.77
11,0.425,3.04,92.81
12,0.391,2.79,95.6
13,0.339,2.42,98.02
14,0.278,1.98,100.0
