题项,相关系数,显著性
交通噪声影响,0.317,<0.001
周围人生活噪声影响,0.216,<0.001
装修/施工噪声影响,0.222,<0.001
商业经营噪声影响,0.179,<0.001
公共活动噪声影响,0.261,<0.001
动物噪声影响,0.173,<0.001
噪声入睡情况影响,0.11,0.017
噪声中断睡眠影响,0.196,<0.001
噪声注意力影响,0.122,0.008
噪声身边关系影响,0.112,0.016
噪声精神状态影响,0.137,0.003
噪声对身体健康影响,0.153,<0.001
噪声对听觉影响,0.134,0.004
噪声对极端情绪影响,0.18,<0.001
